Symbol	Description
OSIAHYPER	Osia Hyper Retail Limited
OSWALAGRO	Oswal Agro Mills Limited
OSWALGREEN	Oswal Greentech Limited
OSWALPUMPS	OSWALPUMPS
OSWALSEEDS	ShreeOswal Seeds And Chemicals Limited
OWAIS	Owais Metal and Mineral Processing Ltd
PACEDIGITK	Pace Digitek Limited
PAGEIND	Page Industries Limited
PAISALO	Paisalo Digital Limited
PAKKA	Pakka Limited
PALASHSECU	Palash Securities Limited
PALREDTEC	Palred Technologies Limited
PANACEABIO	Panacea Biotec Limited
PANACHE	Panache Digilife Limited
PANAMAPET	Panama Petrochem Limited
PANSARI	Pansari Developers Limited
PAR	Par Drugs And Chemicals Limited
PARACABLES	Paramount Communications Limited
PARADEEP	Paradeep Phosphates Limited
PARADEEP.BL	PARADEEP.BL
PARAGMILK	Parag Milk Foods Limited
PARAMATRIX-SM	PARAMATRIX-SM
PARAS	Paras Defence and Space Technologies Limited
PARAS.BL	PARAS.BL
PARASPETRO	Paras Petrofils Limited
PARIN-SM	PARIN-SM
PARIN.ST	Parin Enterprises Ltd.
PARKHOSPS	PARK MEDI WORLD LIMITED
PARKHOTELS	Apeejay Surrendra Park Hotels Limited
PARSVNATH	Parsvnath Developers Limited
PARTH.ST	Parth Electricals & Engineering Limited
PARTYCRUS-SM	PARTYCRUS-SM
PASHUPATI	Pashupati Cotspin Limited
PASUPTAC	Pasupati Acrylon Limited
PATANJALI	Patanjali Foods Limited
PATANJALI.BL	PATANJALI.BL
PATELENG	Patel Engineering Limited
PATINTLOG	Patel Integrated Logistics Limited
PATTECH.ST	Pattech Fitwell Tube Components Limited
PAVNAIND	Pavna Industries Limited
PAYTM	One 97 Communications Limited
PAYTM.BL	One 97 Communications Ltd
PCBL	PCBL LIMITED
PCCL-SM	PCCL-SM
PCJEWELLER	PC Jeweller Limited
PDMJEPAPER	Pudumjee Paper Products Limited
PDSL	PDS Limited
PEARLPOLY	Pearl Polymers Limited
PELATRO-SM	PELATRO-SM
PENIND	Pennar Industries Limited
PENINLAND	Peninsula Land Limited
PENTAGON-SM	PENTAGON-SM
PENTAGON.ST	Pentagon Rubber Limited
PERFECT	Perfect Infraengineers Ltd
PERSISTENT	Persistent Systems Limited
PETRONET	Petronet LNG Limited
PFC	Power Finance Corporation Limited
PFC.BL	POWER FINANCE CORP
PFIZER	Pfizer Limited
PFOCUS	Prime Focus Limited
PFS	PTC India Financial Services Limited
PGEL	PG Electroplast Limited
PGHH	Procter & Gamble Hygiene and Health Care Limited
PGHL	Procter & Gamble Health Limited
PGIL	Pearl Global Industries Limited
PGINVIT-IV	POWERGRID Infrastructure Investment Trust Unit
PHANTOMFX.ST	Phantom Digital Effects Ltd.
PHARMABEES	Nippon Life India Asset Management Ltd. - Nippon India Mutual Fund - Nippon India Nifty Pharma ETF
PHOENIXLTD	The Phoenix Mills Limited
PHOGLOBAL-SM	PHOGLOBAL-SM
PICCADIL	Piccadily Agro Industries Limited
PIDILITIND	Pidilite Industries Limited
PIGL	Power & Instrumental (Gujarat) Limited
PIIND	PI Industries Limited
PILANIINVS	Pilani Investment and Industries Corporation Limited
PILITA	PIL ITALICA LIFESTYLE LIMITED
PINELABS	Pine Labs Ltd
PIONEEREMB	Pioneer Embroideries Limited
PIRAMALFIN	PIRAMAL FINANCE LTD
PITTIENG	Pitti Engineering Limited
PIXTRANS	Pix Transmissions Limited
PKTEA	The Peria Karamalai Tea & Produce Company Limited
PLASTIBLEN	Plastiblends India Limited
PLATIND	Platinum Industries Ltd
PLAZACABLE	Plaza Wires Limited
PNB	Punjab National Bank
PNB.BL	PNB.BL
PNB.T0	PNB.T0
PNBGILTS	PNB Gilts Limited
PNBHOUSING	PNB Housing Finance Limited
PNBHOUSING.BL	PNB HOUSING
PNC	Pritish Nandy Communications Limited
PNCINFRA	PNC Infratech Limited
PNGJL	PNGJL
POCL	Pondy Oxides & Chemicals Limited
PODDARHOUS	Poddar Housing and Development Limited
PODDARMENT	Poddar Pigments Limited
POKARNA	Pokarna Limited
POLICYBZR	PB Fintech Limited
POLICYBZR.BL	PB Fintech Limited
POLYCAB	Polycab India Limited
POLYMED	Poly Medicure Limited
POLYMED.BL	POLYMED.BL
POLYPLEX	Polyplex Corporation Limited
POLYSIL.ST	Polysil Irrigation Syst L
PONNIERODE	Ponni Sugars (Erode) Limited
POONAWALLA	Poonawalla Fincorp Limited
POWERGRID	Power Grid Corporation of India Limited
POWERINDIA	Hitachi Energy India Limited
POWERINDIA.BL	POWERINDIA.BL
POWERMECH	Power Mech Projects Limited
PPAP	PPAP Automotive Limited
PPL	Prakash Pipes Limited
PPLPHARMA	Piramal Pharma Limited
PPSL.ST	PICTUREPOST STUDIOS LTD
PRABHA	Prabha Energy Limited
PRAENG	Prajay Engineers Syndicate Limited
PRAJIND	Praj Industries Limited
PRAKASH	Prakash Industries Limited
PRAKASHSTL	Prakash Steelage Limited
PRAMARA-SM	PRAMARA-SM
PRANIK-SM	PRANIK-SM
PRATHAM-SM	Pratham EPC Projects
PRAXIS	Praxis Home Retail Limited
PRECAM	Precision Camshafts Limited
PRECOT	Precot Limited
PRECWIRE	Precision Wires India Limited
PREMEXPLN	Premier Explosives Limited
PREMIER	Premier Limited
PREMIERENE	Premier Energies Limited
PREMIERPOL	Premier Polyfilm Limited
PREMIUM-SM	PREMIUM-SM
PRESSTONIC-SM	PRESSTONIC-SM
PRESTIGE	Prestige Estates Projects Limited
PRICOLLTD	Pricol Limited
PRIMECAB.ST	Prime Cable Industries Limited
PRIMESECU	Prime Securities Limited
PRIMO	Primo Chemicals Limited
PRINCEPIPE	Prince Pipes And Fittings Limited
PRITI	Priti International Limited
PRITIKAUTO	Pritika Auto Industries Limited
PRIVISCL	Privi Speciality Chemicals Limited
PRIZOR.ST	Prizor Viztech Limited
PRLIND-SM	PRLIND-SM
PROPEQUITY-SM	PROPEQUITY-SM
PROSTARM	PROSTARM
PROTEAN	PROTEAN EGOV TECHNOLOGIES LTD
PROV-SM	Proventus Agrocom Ltd
PROZONER	Prozone Realty Limited
PRSMJOHNSN	Prism Johnson Limited
PRUDENT	Prudent Corporate Advisory Services Limited
PRUDMOULI	Prudential Sugar Corporation Ltd.
PSB	Punjab & Sind Bank
PSFL-SM	PSFL-SM
PSPPROJECT	PSP Projects Limited
PSRAJ-SM	PSRAJ-SM
PSRAJ.ST	P S Raj Steels Ltd.
PSUBANK	PSUBANK
PSUBANKADD	PSUBANKADD
PSUBANKICI	ICICI Prudential Nifty PSU Bank ETF
PSUBNKBEES	Nippon Mutual Funds - Nippon ETF PSU Bank BeES
PSUBNKIETF	PSUBNKIETF
PTC	PTC India Limited
PTCIL	PTC INDUSTRIES LTD
PTL	PTL Enterprises Limited
PULZ-SM	PULZ-SM
PUNJABCHEM	Punjab Chemicals & Crop Protection Limited
PURPLEUTED.ST	PURPLE UNITED SALES LTD
PURVA	Puravankara Limited
PURVFLEXI.ST	PURV FLEXIPACK LIM
PVP	PVP Ventures Limited
PVRINOX	PVR INOX Ltd.
PVRINOX.BL	PVRINOX.BL
PVSL	Popular Vehicles and Services Limited
PVTBANIETF	PVTBANIETF
PVTBANKADD	PVTBANKADD
PYRAMID	PYRAMID TECHNOPLAST ORD (BSE)
QFIL-SM	QFIL-SM
QGOLDHALF	Quantum Gold Exchange Traded Scheme
QMSMEDI-SM	QMSMEDI-SM
QNIFTY	Quantum Mutual Fund - Quantum Nifty ETF
QPOWER	QPOWER
QUADFUTURE	QUADFUTURE
QUAL30IETF	QUAL30IETF
QUESS	Quess Corp Limited
QUESTLAB-SM	QUESTLAB-SM
QUICKHEAL	Quick Heal Technologies Limited
QUINTEGRA	Quintegra Solutions Limited
RACE	Race Eco Chain Limited
RACLGEAR	RACL Geartech Limited
RADAAN	Radaan Mediaworks India Limited
RADHIKAJWE	Radhika Jeweltech Limited
RADIANTCMS	Radiant Cash Management Services Limited
RADICO	Radico Khaitan Limited
RADICO.BL	RADICO.BL
RADIOCITY	Music Broadcast Limited
RADIOWALLA-SM	Radiowalla Network Ltd
RAILTEL	Railtel Corporation Of India Limited
RAIN	Rain Industries Limited
RAINBOW	Rainbow Childrens Medicare Limited
RAJESHEXPO	Rajesh Exports Limited
RAJINDLTD-SM	RAJINDLTD-SM
RAJMET	Rajnandini Metal Limited
RAJOOENG	Rajoo Engineers Limited
RAJPUTANA-SM	RAJPUTANA-SM
RAJRATAN	Rajratan Global Wire Limited
RAJRILTD	Raj Rayon Industries Limited
RAJSREESUG	Rajshree Sugars & Chemicals Limited
RAJTV	Raj Television Network Limited
RAJVIR	Rajvir Industries Limited
RALLIS	Rallis India Limited
RAMANEWS	Shree Rama Newsprint Limited
RAMAPHO	Rama Phosphates Limited
RAMASTEEL	Rama Steel Tubes Limited
RAMCOCEM	The Ramco Cements Limited
RAMCOIND	Ramco Industries Limited
RAMCOIND.BL	RAMCO INDUSTRIES LIMITED
RAMCOSYS	Ramco Systems Limited
RAMKY	Ramky Infrastructure Limited
RAMRAT	Ram Ratna Wires Limited
RANASUG	Rana Sugars Limited
RANEHOLDIN	Rane Holdings Limited
RAPIDFLEET-SM	RAPIDFLEET-SM
RAPPID-SM	RAPPID-SM
RATEGAIN	Rategain Travel Technologies Limited
RATNAMANI	Ratnamani Metals & Tubes Limited
RATNAVEER	Ratnaveer Precision Engineering Ltd
RAYMOND	Raymond Limited
RAYMONDLSL	Raymond Lifestyle Ltd
RAYMONDREL	RAYMOND REALTY LTD
RBA	Restaurant Brands Asia Limited
RBA.BL	RESTAURANT BRAND ASIA LTD
RBLBANK	RBL Bank Limited
RBLBANK.BL	RBL BANK LIMITED
RBS-SM	RBS-SM
RBZJEWEL	RBZ Jewellers Limited
RCDL-SM	RCDL-SM
RCF	Rashtriya Chemicals and Fertilizers Limited
RCOM	Reliance Communications Limited
READYMIX.ST	Readymix Construction Machinery
RECLTD	REC Limited
REDINGTON	Redington Limited
REDTAPE	Redtape Limited
REFEX	Refex Industries Limited
REGENCERAM	Regency Ceramics Limited
RELAXO	Relaxo Footwears Limited
RELCHEMQ	Reliance Chemotex Industries Limited
RELIABLE	Reliable Data Services Limited
RELIANCE	Reliance Industries Limited
RELIANCE.BL	RELIANCE INDUSTRIES LTD
RELIGARE	Religare Enterprises Limited
RELINFRA	Reliance Infrastructure Limited
RELTD	Ravindra Energy Limited
REMSONSIND	Remsons Industries Limited
REMUS-SM	REMUS-SM
RENUKA	Shree Renuka Sugars Limited
REPCOHOME	Repco Home Finance Limited
REPL	Rudrabhishek Enterprises Limited
REPRO	Repro India Limited
RESPONIND	Responsive Industries Limited
RETAIL	JHS Svendgaard Retail Ventures Limited
REXPIPES.ST	REX PIPES AND CABLES LTD
REXPRO-SM	REXPRO-SM
RGL	Renaissance Global Limited
RHFL	Reliance Home Finance Limited
RHIM	RHI MAGNESITA INDIA LIMITED
RHL	Robust Hotels Limited
RICHA.ST	RICHA INFO SYSTEMS LTD
RICOAUTO	Rico Auto Industries Limited
RIIL	Reliance Industrial Infrastructure Limited
RIIT	Raajmarg Infra Investment Trust
RISHABH	Rishabh Instruments Limited
RITCO	Ritco Logistics Limited
RITES	RITES Limited
RITES.T0	RITES.T0
RKDL	Ravi Kumar Distilleries Limited
RKEC	RKEC Projects Limited
RKFORGE	Ramkrishna Forgings Limited
RKSWAMY	R K Swamy Limited
RMDRIP	RMDRIP
RML	Rane (Madras) Limited
ROHLTD	Royal Orchid Hotels Limited
ROLEXRINGS	Rolex Rings Limited
ROLLT	Rollatainers Limited
ROML	Raj Oil Mills Limited
ROSSARI	Rossari Biotech Limited
ROSSELLIND	Rossell India Limited
ROSSTECH	Rossell Techsys Limited
ROTO	Roto Pumps Limited
ROUTE	ROUTE MOBILE LIMITED
RPEL	Raghav Productivity Enhancers Limited
RPGLIFE	RPG Life Sciences Limited
RPOWER	Reliance Power Limited
RPPINFRA	R.P.P. Infra Projects Limited
RPPL	Rajshree Polypack Limited
RPSGVENT	RPSG VENTURES LIMITED
RPTECH	Rashi Peripherals Limited
RRKABEL	R R Kabel Limited
RSL	RSL
RSSOFTWARE	R. S. Software (India) Limited
RSWM	RSWM Limited
RSYSTEMS	R Systems International Limited
RTNINDIA	RattanIndia Enterprises Limited
RTNPOWER	RattanIndia Power Limited
RUBFILA	Rubfila International Limited
RUBYMILLS	The Ruby Mills Limited
RUCHINFRA	Ruchi Infrastructure Limited
RUCHIRA	Ruchira Papers Limited
RUDRA	RUDRA
RUPA	Rupa & Company Limited
RUSHIL	Rushil Decor Limited
RUSTOMJEE	Keystone Realtors Limited
RVHL	Ravinder Heights Limited
RVNL	Rail Vikas Nigam Limited
RVTH	Revathi Equipment India Limited
S&SPOWER	S&S Power Switchgears Limited
SAAKSHI.ST	Saakshi Medtec N Panels L
SAATVIKGL	Saatvik Green Energy Limited
SABAR.ST	Sabar Flex India Ltd.
SABEVENTS	Sab Events & Governance Now Media Limited
SADBHAV	Sadbhav Engineering Limited
SADBHIN	Sadbhav Infrastructure Project Limited
SADHNANIQ	Sadhana Nitro Chem Limited
SAFARI	Safari Industries (India) Limited
SAFARI.T0	SAFARI.T0
SAGARDEEP	Sagardeep Alloys Limited
SAGCEM	Sagar Cements Limited
SAGILITY	SAGILITY INDIA LIMITED
SAHAJSOLAR-SM	SAHAJSOLAR-SM
SAHYADRI	SAHYADRI INDUSTRIES ORD (BSE)
SAIL	Steel Authority of India Limited
SAILIFE	SAI LIFE SCIENCES LTD
SAKAR	Sakar Healthcare Limited
SAKHTISUG	Sakthi Sugars Limited
SAKSOFT	Saksoft Limited
SAKUMA	Sakuma Exports Limited
SALASAR	Salasar Techno Engineering Limited
SALONA	Salona Cotspin Limited
SALSTEEL	S.A.L. Steel Limited
SALZERELEC	Salzer Electronics Limited
SAMAY.ST	Samay Project Services Limited
SAMBHAAV	Sambhaav Media Limited
SAMBHV	SAMBHV STEEL TUBES LTD
SAMHI	Samhi Hotels Limited
SAMHI.BL	Samhi Hotels Limited
SAMMAANCAP	Sammaan Capital Limited
SAMMAANCAP.BL	SAMMAANCAP.BL
SAMPANN	Sampann Utpadan India Limited
SANATHAN	SANATHAN TEXTILES LIMITED
SANCO	Sanco Industries Limited
SANDESH	The Sandesh Limited
SANDHAR	Sandhar Technologies Limited
SANDUMA	SANDUR MANGANESE AND IRON ORES LTD
SANGAMIND	Sangam (India) Limited
SANGHVIMOV	Sanghvi Movers Limited
SANGINITA	Sanginita Chemicals Limited
SANOFI	Sanofi India Limited
SANOFICONR	SANOFI CONS HEALTHC IND L
SANSERA	Sansera Engineering Limited
SANSERA.BL	Sansera Engineering Ltd
SANSTAR	Sanstar Ltd
SANWARIA	Sanwaria Consumer Limited
SAPPHIRE	Sapphire Foods India Limited
SAPPHIRE.BL	Sapphire Foods India Ltd
SARDAEN	Sarda Energy & Minerals Limited
SAREGAMA	Saregama India Limited
SARLAPOLY	Sarla Performance Fibers Limited
SAROJA.ST	Saroja Pharma Indus Ind L
SARVESHWAR	Sarveshwar Foods Limited
SASKEN	Sasken Technologies Limited
SASTASUNDR	Sastasundar Ventures Limited
SATIA	Satia Industries Limited
SATIN	Satin Creditcare Network Limited
SAURASHCEM	SAURASHTRA CEM B ORD (BSE)
SBC	SBC Exports Limited
SBCL	Shivalik Bimetal Controls Limited
SBFC	SBFC Finance Limited
SBFC.BL	SBFC.BL
SBGLP	Suratwwala Business Group Limited
SBIBPB	SBI Mutual Fund - SBI BSE PSU Bank ETF
SBICARD	SBI Cards and Payment Services Limited
SBIETFCON	SBI Nifty Consumption ETF
SBIETFIT	SBI Nifty IT ETF
SBIETFPB	SBI Mutual Fund - SBI ETF Private Bank
SBIETFQLTY	SBI Mutual Fund - SBI-ETF Quality
SBILIFE	SBI Life Insurance Company Limited
SBILIFE.BL	SBILIFE.BL
SBIN	State Bank of India
SBIN.BL	SBIN.BL
SBIN.T0	STATE BK OF INDIA
SBINEQWETF	SBINEQWETF
SBISILVER	SBISILVER
SCHAEFFLER	Schaeffler India Limited
SCHAND	S Chand And Company Limited
SCHNEIDER	Schneider Electric Infrastructure Limited
SCI	Shipping Corporation Of India Limited
SCILAL	SHIPPING CORPORATION OF INDIA LAND
SCML.ST	Sharp Chucks N Machines L
SCODATUBES	Scoda Tubes Limited
SCPL	Sheetal Cool Products Limited
SDBL	Som Distilleries & Breweries Limited
SDL26BEES	Nippon India Mutual Fund
SEAMECLTD	Seamec Limited
SECL.ST	Salasar Exteriors and Contours Ltd.
SECMARK	SecMark Consultancy Limited
SECURCRED	SecUR Credentials Limited
SECURKLOUD	SECUREKLOUD TECHNOLOGIES LIMITED
SEJALLTD	Sejal Glass Limited
SELECTIPO	Mirae Asset BSE Select IPO ETF
SELMC	SEL Manufacturing Company Limited
SEMAC	Semac Consultants Limited
SENCO	SENCO GOLD LTD
SENORES	SENORES PHARMACEUTICALS L
SENSEXADD	SENSEXADD
SENSEXBETA	SENSEXBETA
SENSEXETF	SENSEXETF
SENSEXIETF	SENSEXIETF
SEPC	SEPC Limited
SERVOTECH	Servotech Power Systems Limited
SESHAPAPER	Seshasayee Paper and Boards Limited
SETCO	Setco Automotive Limited
SETF10GILT	SBI Mutual Fund - SBI-ETF 10 Year Gilt
SETFNIF50	SBI Mutual Fund - SBI-ETF Nifty 50
SETFNIFBK	SBI Mutual Fund - SBI-ETF Nifty Bank
SETFNN50	SBI Mutual Fund - SBI-ETF Nifty Next 50
SETL	Standard Engineering Technology Limited
SETUINFRA	Setubandhan Infrastructure Limited
SEYAIND	Seya Industries Limited
SFL	Sheela Foam Limited
SGFIN	SG Finserve Limited
SGIL	Synergy Green Industries Limited
SGL	STL Global Limited
SGMART	SG Mart Limited
SHAH	Shah Metacorp Limited
SHAHALLOYS	Shah Alloys Limited
SHAILY	Shaily Engineering Plastics Limited
SHAILY.BL	SHAILY.BL
SHAKTIPUMP	Shakti Pumps (India) Limited
SHALBY	Shalby Limited
SHALPAINTS	Shalimar Paints Limited
SHANKARA	Shankara Building Products Limited
SHANTHALA.ST	Shanthala FMCG Products Ltd.
SHANTI	Shanti Overseas (India) Limited
SHANTIGEAR	Shanthi Gears Limited
SHARDACROP	Sharda Cropchem Limited
SHARDAMOTR	Sharda Motor Industries Limited
SHAREINDIA	Share India Securities Limited
SHARIABEES	Nippon India ETF Shariah BeES
SHEEL.ST	Sheel Biotech Limited
SHEKHAWATI	Shekhawati Industries Limited
SHEMAROO	Shemaroo Entertainment Limited
SHETHJI.ST	SHETHJI.ST
SHILPAMED	Shilpa Medicare Limited
SHIVALIK	Shivalik Rasayan Limited
SHIVAMAUTO	Shivam Autotech Limited
SHIVAMILLS	Shiva Mills Limited
SHIVATEX	Shiva Texyarn Limited
SHK	S H Kelkar and Company Limited
SHOPERSTOP	Shoppers Stop Limited
SHRADHA	Shradha Infraprojects Limited
SHREDIGCEM	Shree Digvijay Cement Co.Ltd
SHREECEM	SHREE CEMENT LIMITED
SHREECEM.BL	SHREECEM.BL
SHREEPUSHK	Shree Pushkar Chemicals & Fertilisers Limited
SHREERAMA	Shree Rama Multi-Tech Limited
SHREMINVIT-IV	SHREMINVIT-IV
SHRENIK	Shrenik Limited
SHREYANIND	Shreyans Industries Limited
SHRIAHIMSA.ST	Shri Ahimsa Naturals Ltd.
SHRINGARMS	Shringar House of Mangalsutra Limited
SHRIPISTON	Shriram Pistons & Rings Limited
SHRIRAMFIN	Shriram Finance Limited
SHRIRAMPPS	Shriram Properties Limited
SHUBHLAXMI-SM	SHUBHLAXMI-SM
SHYAMCENT	Shyam Century Ferrous Limited
SHYAMMETL	Shyam Metalics and Energy Limited
SHYAMTEL	Shyam Telecom Limited
SICALLOG	Sical Logistics Limited
SIDDHICOTS.ST	Siddhi Cotspin Limited
SIDDHIKA-SM	SIDDHIKA COATINGS LIMITED
SIEMENS	Siemens Limited
SIGACHI	Sigachi Industries Limited
SIGIND	Signet Industries Limited
SIGMA	Sigma Solve Limited
SIGMAADV	Sigma Advanced Systems Limited
SIGNATURE	SIGNATUREGLOBAL (INDIA) LIMITED
SIGNPOST	Signpost India Limited
SIKKO	Sikko Industries Limited
SIL	Standard Industries Limited
SIL360INAV	SIL360INAV
SILBNDINAV	SILBNDINAV
SILGO	Silgo Retail Limited
SILINV	SIL Investments Limited
SILLYMONKS	Silly Monks Entertainment Limited
SILVER	Aditya Birla Sun Life Silver ETF
SILVER1	Kotak Mahindra Mutual Fund - Kotak Silver ETF Fund
SILVER360	360 One Mutual Fund - 360 One Silver Etf
SILVERADD	SILVERADD
SILVERAG	SILVERAG
SILVERBEES	Nippon India Silver ETF
SILVERBETA	SILVERBETA
SILVERCASE	Zerodha Am Pvt. Ltd. - Zerodha Mutual Fund - Zerodha Silver ETF
SILVERIETF	SILVERIETF
SILVERTUC	Silver Touch Technologies Limited
SIMBHALS	Simbhaoli Sugars Limited
SIMPLEXINF	Simplex Infrastructures Limited
SINCLAIR	SINCLAIRS HOTELS ORD (BSE)
SINDHUTRAD	Sindhu Trade Links Limited
SINTERCOM	Sintercom India Limited
SIRCA	Sirca Paints India Limited
SIS	SIS LIMITED
SITINET	Siti Networks Limited
SIYSIL	Siyaram Silk Mills Limited
SJS	S.J.S. Enterprises Limited
SJVN	SJVN Limited
SJVN.T0	SJVN.T0
SKFINDIA	SKF India Limited
SKFINDUS	SKF INDIA LTD
SKIL	SKIL Infrastructure Limited
SKIPPER	Skipper Limited
SKMEGGPROD	SKM Egg Products Export (India) Limited
SKYGOLD	Sky Gold Limited
SMAADDINAV	SMAADDINAV
SMALLADD	SMALLADD
SMALLCAP	SMALLCAP
SMARTLINK	Smartlink Holdings Limited
SMARTWORKS	SMARTWORKS
SMCGLOBAL	SMC Global Securities Limited
SML100CASE	Zerodha Nifty Smallcap 100 ETF
SMLMAH	SML Mahindra Ltd.
SMLT	Sarthak Metals Limited
SMSPHARMA	SMS Pharmaceuticals Limited
SMVD-SM	SMVD-SM
SNOWMAN	Snowman Logistics Limited
SNXT50BETA	SNXT50BETA
SOBHA	Sobha Limited
SOFTTECH	Softtech Engineers Limited
SOLARA	Solara Active Pharma Sciences Limited
SOLARINDS	Solar Industries India Limited
SOLARINDS.BL	SOLARINDS.BL
SOLARWORLD	SOLARWORLD ENERGY SOL LTD
SOLEX	SOLEX ENERGY LIMITED
SOMANYCERA	Somany Ceramics Limited
SOMATEX	Soma Textiles & Industries Limited
SOMICONVEY	Somi Conveyor Beltings Limited
SONACOMS	Sona BLW Precision Forgings Limited
SONAMLTD	Sonam Limited
SONATSOFTW	Sonata Software Limited
SOTL	Savita Oil Technologies Limited
SOUTHBANK	The South Indian Bank Limited
SOUTHWEST	South West Pinnacle Exploration Limited
SPAL	S. P. Apparels Limited
SPANDANA	Spandana Sphoorty Financial Limited
SPANDANA.BL	SPANDANA.BL
SPARC	Sun Pharma Advanced Research Company Limited
SPCENET	Spacenet Enterprises India Limited
SPECIALITY	Speciality Restaurants Limited
SPECTRUM	SPECTRUM
SPENCERS	Spencer's Retail Limited
SPIC	Southern Petrochemicals Industries Corporation  Limited
SPLIL	SPL Industries Limited
SPLPETRO	Supreme Petrochem Limited
SPMLINFRA	SPML Infra Limited
SPORTKING	Sportking India Limited
SPRL-SM	SP Refractories
SRD	Shankar Lal Rampal Dye-Chem Limited
SREEL	Sreeleathers Limited
SRF	SRF Limited
SRGHFL	SRG HOUSING FINANCE ORD (BSE)
SRHHYPOLTD	Sree Rayalaseema Hi-Strength Hypo Limited
SRM	SRM CONTRACTORS ORD (BSE)
SRPL	Shree Ram Proteins Limited
SSDL	SSDL
SSWL	Steel Strips Wheels Limited
STALLION	STALLION
STANLEY	STANLEY
STAR	Strides Pharma Science Limited
STAR.BL	STRIDES PHARMA SCI
STARCEMENT	Star Cement Limited
STARHEALTH	Star Health and Allied Insurance Company Limited
STARPAPER	Star Paper Mills Limited
STARTECK	Starteck Finance Limited
STCINDIA	The State Trading Corporation of India Limited
STEELCAS	Steelcast Limited
STEELCITY	Steel City Securities Limited
STEELXIND	STEEL EXCHANGE INDIA LIMITED
STEL	Stel Holdings Limited
STERTOOLS	Sterling Tools Limited
STLNETWORK	STL NETWORKS LTD
STLTECH	Sterlite Technologies Limited
STOVEKRAFT	Stove Kraft Limited
STYL	SESHAASAI TECHNOLOGIES L
STYLAMIND	Stylam Industries Limited
STYLEBAAZA	Baazar Style Retail Limited
STYRENIX	Styrenix Performance Materials Limited
SUBAHOTELS.ST	Suba Hotels Limited
SUBEXLTD	Subex Limited
SUBROS	Subros Limited
SUDARSCHEM	Sudarshan Chemical Industries Limited
SUKHJITS	Sukhjit Starch & Chemicals Limited
SULA	Sula Vineyards Limited
SUMICHEM	Sumitomo Chemical India Limited
SUMIT	Sumit Woods Limited
SUMMITSEC	Summit Securities Limited
SUNCLAY	SUNDARAM CLAYTON LTD
SUNDARAM	Sundaram Multi Pap Limited
SUNDARMFIN	Sundaram Finance Limited
SUNDARMFIN.BL	SUNDARAM FINANCE L
SUNDRMBRAK	Sundaram Brake Linings Limited
SUNDRMFAST	Sundram Fasteners Limited
SUNDROP	Sundrop Brands Limited
SUNFLAG	Sunflag Iron And Steel Company Limited
SUNPHARMA	Sun Pharmaceutical Industries Limited
SUNPHARMA.BL	SUN PHARMACEUTICAL
SUNTECK	Sunteck Realty Limited
SUNTV	Sun TV Network Limited
SUPERHOUSE	Superhouse Limited
SUPERSPIN	Super Spinning Mills Limited
SUPRAJIT	Suprajit Engineering Limited
SUPREME	Supreme Holdings & Hospitality (India) Limited
SUPREMEENG	Supreme Engineering Limited
SUPREMEIND	Supreme Industries Limited
SUPREMEINF	Supreme Infrastructure India Limited
SUPRIYA	Supriya Lifescience Limited
SURAJEST	Suraj Estate Developers Ltd.
SURAJLTD	Suraj Limited
SURAKSHA	SURAKSHA
SURANASOL	Surana Solar Limited
SURANAT&P	Surana Telecom and Power Limited
SURYALAXMI	Suryalakshmi Cotton Mills Limited
SURYAROSNI	Surya Roshni Limited
SURYODAY	Suryoday Small Finance Bank Limited
SUTLEJTEX	Sutlej Textiles and Industries Limited
SUULD	Suumaya Industries Limited
SUVEN	Suven Life Sciences Limited
SUVIDHAA	Suvidhaa Infoserve Limited
SUYOG	Suyog Telematics Limited
SUZLON	Suzlon Energy Limited
SUZLON.T0	SUZLON.T0
SVLL	Shree Vasu Logistics Limited
SVPGLOB	SVP GLOBAL TEXTILES LIMITED
SWANCORP	SWAN CORP LTD
SWANDEF	SWANDEF
SWARAJENG	Swaraj Engines Limited
SWELECTES	Swelect Energy Systems Limited
SWIGGY	SWIGGY LIMITED
SWSOLAR	Sterling and Wilson Renewable Energy Limited
SYMPHONY	Symphony Limited
SYNCOMF	Syncom Formulations (India) Limited
SYNGENE	Syngene International Limited
SYRMA	Syrma SGS Technology Limited
SYSTMTXC	Systematix Corporate Services Limited
TAC.ST	TAC INFOSEC LTD
TAINWALCHM	Tainwala Chemical and Plastic (I) Limited
TAJGVK	Taj GVK Hotels & Resorts Limited
TAKE	Take Solutions Limited
TALBROAUTO	Talbros Automotive Components Limited
TANKUP.ST	Tankup Engineers Ltd.
TANLA	Tanla Platforms Limited
TAPIFRUIT-SM	TAPIFRUIT-SM
TAPIFRUIT.ST	TAPIFRUIT.ST
TARACHAND	Tara Chand Infralogistic Solutions Limited
TARAPUR	Tarapur Transformers Limited
TARC	TARC Limited
TARIL	TRANSFORMERS AND RECTIFIERS INDIA
TARMAT	Tarmat Limited
TARSONS	Tarsons Products Limited
TASTYBITE	Tasty Bite Eatables Limited
TATACAP	Tata Capital Ltd
TATACHEM	Tata Chemicals Limited
TATACOMM	Tata Communications Limited
TATACONSUM	TATA CONSUMER PRODUCTS LIMITED
TATAELXSI	Tata Elxsi Limited
TATAGOLD	Tata Gold ETF
TATAINVEST	Tata Investment Corporation Limited
